Model	Go	BreadCrumb	Month	2015	2016	2017	2018	2019
X6	Go	Home» European Car Sales Data» BMW» BMW X6	December 	1.136 	1.148 	842 	469 	(TD) 
Z3	Go	Home» European Car Sales Data» BMW» BMW Z3 						
Z4	Go	Home» European Car Sales Data» BMW» BMW Z4 	January 	200 	143 	50 	1 	110 
Z4	Go	Home» European Car Sales Data» BMW» BMW Z4 	February 	290 	211 	35 	1 	(TD) 
Z4	Go	Home» European Car Sales Data» BMW» BMW Z4 	March 	717 	560 	109 	(TD) 	(TD) 
Z4	Go	Home» European Car Sales Data» BMW» BMW Z4 	April 	479 	277 	14 	4 	(TD) 
Z4	Go	Home» European Car Sales Data» BMW» BMW Z4 	May 	447 	348 	9 	(TD) 	(TD) 
Z4	Go	Home» European Car Sales Data» BMW» BMW Z4 	June 	583 	421 	16 	1 	(TD) 
Z4	Go	Home» European Car Sales Data» BMW» BMW Z4 	July 	279 	244 	3 	(TD) 	(TD) 
Z4	Go	Home» European Car Sales Data» BMW» BMW Z4 	August 	177 	180 	2 	1 	(TD) 
Z4	Go	Home» European Car Sales Data» BMW» BMW Z4 	September 	373 	283 	3 	8 	(TD) 
Z4	Go	Home» European Car Sales Data» BMW» BMW Z4 	October 	168 	113 	1 	20 	(TD) 
Z4	Go	Home» European Car Sales Data» BMW» BMW Z4 	November 	179 	76 	(TD) 	61 	(TD) 
Z4	Go	Home» European Car Sales Data» BMW» BMW Z4 	December 	201 	150 	2 	28 	(TD) 
Z8	Go	Home» European Car Sales Data» BMW» BMW Z8 						
